Competition,Bib Number,City,Date,Month,Overall,PB,Pace,Place Overall,Protocol,Registered,Result,Sneakers,"Split, м",Trail,Type,Year
Соревнования по легкой атлетике среди организаций ТЭК,,Москва,"October 4, 2025",Октябрь,,No,3:25,,,Yes,10:16,Nike ZoomX Vaporfly Next% 3,3000,No,Бег,2025
Часовой бег,,Северобайкальск,"August 16, 2025",Август,,No,4:07,,,Yes,01:00:00,Nike Pegasus Trail 4 GRT,,No,Бег,2025
Чемпионат ЦА по бегу,,Москва,"July 21, 2025",Июль,,Yes,3:24,,,Yes,10:13,Nike ZoomX Vaporfly Next% 3,3000,No,Бег,2025
Медвежья гонка,,Москва,"July 13, 2025",Июль,,No,,,,Yes,,Nike Pegasus Trail 4 GRT,,No,OCR,2025
Спартакиада Банка России,,Москва,"December 14, 2025",Декабрь,,No,3:02,,,Yes,2:26,Nike Zoom Rival S9,800,No,Бег,2025
BIG RUN FEST,,Москва,"July 19, 2025",Июль,,Yes,3:47,,,Yes,00:37:48,Nike ZoomX Vaporfly Next% 3,10000,No,Бег,2025
По Садовому кольцу,2873,Москва,"May 16, 2026",Май,8324,Yes,3:52,151,https://results.runc.run/event/garden_ring_relay_2026/overview/distance/499/,Yes,00:58:01,Nike ZoomX Vaporfly Next% 3,15000,No,Бег,2026
,,,,,,No,,,,No,,,,No,,2022
Зеленый марафон,2420,Москва,"May 30, 2026",Май,4250,Yes,3:30,15,https://reg.greenmarathon.sberbank.ru/info/marathon/msk/,Yes,00:14:41,Adidas Adizero Adios Pro 4,4200,No,Бег,2026
Марафон Белые ночи,,Санкт-Петербург,"July 4, 2026",Июль,,No,,,,Yes,,,42195,No,Бег,2026
,,,,,,No,,,,No,,,,No,,2022
